airline,airport,total_flights,min_arr_delay,max_arr_delay,avg_arr_delay,cancellation_rate_pct,active_months
9E,PIT,451,-47.0,942.0,10.96,2.88,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PNS,65,-31.0,131.0,4.27,1.54,[ 1  2  3  4  5  6  7  8  9 11 12]
9E,PVD,175,-37.0,315.0,-1.92,2.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,PWM,217,-39.0,1122.0,14.85,4.15,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RAP,52,-33.0,100.0,-0.63,0.0,[ 6  7  8 11 12]
9E,RDU,1567,-45.0,908.0,7.32,3.06,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RIC,483,-43.0,932.0,4.59,2.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ROA,250,-37.0,830.0,6.81,2.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,ROC,707,-49.0,606.0,0.56,3.96,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,RST,56,-29.0,220.0,5.25,0.0,[ 1  2  3  4  6  7  8  9 10 12]
9E,RSW,3,-28.0,60.0,7.0,0.0,[ 1 12]
9E,SAV,459,-40.0,705.0,3.04,4.14,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,SBN,3,-21.0,-13.0,-17.0,0.0,[ 9 11 12]
9E,SDF,37,-33.0,151.0,2.03,2.7,[ 1  4  5  6  7  8 12]
9E,SGF,167,-35.0,178.0,1.6,0.6,[ 1  2  3  4  5  7  8  9 10 11 12]
9E,SHV,288,-37.0,414.0,1.28,0.69,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,STL,359,-40.0,836.0,0.21,3.9,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,SYR,534,-47.0,677.0,-3.27,3.37,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TLH,155,-29.0,1143.0,12.39,3.23,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TPA,1,1.0,1.0,1.0,0.0,[12]
9E,TRI,289,-40.0,223.0,-3.78,1.04,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,TUL,71,-44.0,108.0,-0.99,0.0,[ 1  2  3  4  5  6  9 10 11 12]
9E,TVC,52,-26.0,121.0,2.34,3.85,[1 4 5 6 7 8 9]
9E,TYS,708,-39.0,781.0,-5.17,2.26,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,VLD,160,-31.0,405.0,8.07,1.25,[ 1  2  3  4  5  6  7  8  9 10 11 12]
9E,VPS,6,-2.0,102.0,42.67,0.0,[1 3 9]
9E,XNA,447,-42.0,894.0,4.91,0.45,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ABQ,763,-33.0,975.0,18.06,2.1,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AGS,6,-20.0,179.0,44.5,0.0,[4]
AA,ALB,338,-58.0,1454.0,14.08,0.59,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AMA,47,-31.0,977.0,24.43,6.38,[ 1  2 10 11 12]
AA,ANC,123,-47.0,1373.0,11.91,0.0,[ 1  3  4  5  6  7  8  9 10 11 12]
AA,ATL,1938,-49.0,1399.0,18.86,1.81,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AUS,3356,-47.0,1465.0,17.06,1.58,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,AVL,121,-31.0,253.0,32.72,5.79,[ 1  4  5  6  7  8  9 10 11 12]
AA,AVP,204,-34.0,1141.0,19.52,0.98,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BDL,947,-48.0,1388.0,12.55,1.8,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BFL,243,-40.0,1106.0,13.32,0.41,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BGR,158,-30.0,413.0,15.69,3.16,[ 6  7  8  9 10 11]
AA,BHM,104,-28.0,995.0,23.03,3.85,[ 1  2  5  6  9 10 11 12]
AA,BNA,2111,-40.0,1281.0,19.85,1.99,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BOI,211,-40.0,250.0,2.12,1.9,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BOS,4248,-68.0,1462.0,4.26,1.51,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BTV,186,-34.0,419.0,8.12,0.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BUF,525,-52.0,1477.0,21.79,1.71,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BUR,285,-45.0,917.0,7.7,0.7,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BWI,976,-61.0,893.0,9.53,2.36,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,BZN,214,-34.0,1472.0,26.99,0.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CAE,181,-38.0,344.0,19.19,2.21,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CHS,1229,-40.0,998.0,11.1,1.79,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CID,340,-42.0,623.0,22.02,2.35,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CLE,1210,-62.0,1168.0,10.42,1.57,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CLT,31515,-65.0,1448.0,17.41,1.3,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CMH,882,-48.0,1432.0,17.56,1.59,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,COS,261,-40.0,417.0,17.72,3.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,CVG,860,-55.0,1079.0,14.78,2.67,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DAB,84,-27.0,222.0,4.02,2.38,[1 2 3 4 5 6]
AA,DCA,6858,-71.0,1116.0,9.0,1.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DEN,2062,-49.0,1463.0,14.23,1.75,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DFW,41703,-63.0,1490.0,19.26,1.93,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DRO,2,-9.0,14.0,2.5,0.0,[6 7]
AA,DSM,595,-60.0,979.0,17.95,1.01,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,DTW,1476,-57.0,1047.0,9.64,1.96,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ECP,165,-30.0,1241.0,29.18,2.42,[ 1  2  3  4  5  6  7  8 10 12]
AA,EGE,307,-37.0,1198.0,36.51,1.3,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ELP,686,-30.0,1101.0,15.53,2.04,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,EUG,179,-33.0,1098.0,16.94,1.68,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,EWR,1759,-66.0,1346.0,12.03,1.82,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,EYW,424,-38.0,1399.0,38.5,1.65,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,FAT,508,-39.0,673.0,13.5,1.38,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,FCA,95,-43.0,1039.0,18.77,1.05,[ 6  7  8  9 10]
AA,FLL,1615,-41.0,1193.0,18.71,2.17,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,FSD,151,-40.0,522.0,22.89,1.32,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,GEG,361,-51.0,866.0,15.08,0.83,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,GRR,625,-62.0,996.0,16.32,1.12,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,GSO,331,-60.0,525.0,15.31,1.81,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,GSP,343,-43.0,1004.0,26.44,2.62,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,GUC,32,-36.0,1205.0,47.31,0.0,[ 1  2  3  4 12]
AA,HDN,31,-29.0,107.0,10.81,0.0,[ 1  2  3 12]
AA,HNL,602,-69.0,882.0,-5.67,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,HSV,2,8.0,30.0,19.0,0.0,[11 12]
AA,IAD,189,-45.0,173.0,2.02,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,IAH,1727,-48.0,1360.0,17.84,2.43,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ICT,139,-29.0,528.0,31.28,3.6,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ILM,356,-39.0,227.0,10.88,3.37,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,IND,1678,-44.0,1223.0,11.07,1.31,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,JAC,255,-43.0,1418.0,49.92,0.39,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,JAX,1844,-50.0,1495.0,15.28,2.66,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,JFK,3707,-80.0,1400.0,0.58,1.19,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,KOA,201,-54.0,1227.0,-5.43,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LAS,3471,-51.0,1492.0,9.07,0.98,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LAX,7631,-64.0,1407.0,10.23,0.63,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LBB,95,-37.0,229.0,13.34,0.0,[ 1  2  3  4  5  6 10 11 12]
AA,LEX,249,-39.0,1131.0,23.3,3.61,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LGA,4208,-66.0,1295.0,9.29,2.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LIH,218,-72.0,1092.0,2.24,0.0,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,LIT,202,-28.0,1135.0,27.56,1.49,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MCI,1435,-43.0,1167.0,12.27,1.67,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MCO,4453,-43.0,1385.0,14.57,1.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MDT,275,-51.0,1232.0,19.03,1.45,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MEM,1073,-37.0,1420.0,11.41,1.12,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MFE,477,-37.0,1399.0,22.51,1.68,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MHT,36,-26.0,197.0,6.22,0.0,[4 5 6]
AA,MIA,15127,-53.0,1193.0,17.13,1.61,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MKE,671,-44.0,1434.0,16.7,1.19,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MRY,166,-48.0,231.0,9.15,2.41,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MSN,519,-62.0,461.0,11.9,0.19,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MSO,55,-38.0,926.0,25.09,0.0,[ 1  6  7  8  9 10 12]
AA,MSP,1144,-54.0,1147.0,8.49,1.31,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MSY,1619,-41.0,1309.0,19.72,1.54,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,MTJ,125,-31.0,1099.0,13.8,0.0,[ 1  2  3  4  6  7  8  9 10 11 12]
AA,MYR,280,-37.0,250.0,6.29,1.07,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,OGG,308,-70.0,918.0,-8.43,0.32,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,OKC,701,-34.0,1267.0,17.55,1.28,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,OMA,768,-51.0,1095.0,13.07,1.17,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ONT,810,-46.0,1439.0,10.49,0.86,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ORD,12899,-66.0,1386.0,15.91,1.16,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,ORF,717,-43.0,1439.0,15.86,2.09,[ 1  2  3  4  5  6  7  8  9 10 11 12]
AA,PBI,1523,-36.0,1282.0,17.29,1.71,[ 1  2  3  4  5  6  7  8  9 10 11 12]
